DateTime,x(m),y(m),z(m),vx(m/s),vy(m/s),vz(m/s)
--------------------------,---------------,----------------,----------------,------------,------------,------------
2030-11-14 08:00:00.000000,222021.865767,4235967.898877,-5710244.481440,2096.459113,5679.962064,4429.333827
2030-11-14 08:01:00.000000,347284.451252,4568114.231322,-5433273.864819,2077.565261,5387.758586,4800.139588
2030-11-14 08:02:15.129869,502122.462459,4958182.735776,-5055975.645325,2042.136819,4990.416649,5238.773667
2030-11-14 08:03:27.642507,648590.063113,5305194.856414,-4661642.073460,1995.645439,4575.747948,5632.407238
2030-11-14 08:04:40.312912,791559.829648,5621749.287707,-4238957.426114,1937.131209,4131.774805,5994.984366
2030-11-14 08:05:52.749349,929414.948985,5904225.283337,-3792638.374587,1867.201844,3663.429648,6322.185649
2030-11-14 08:07:05.013647,1061487.984983,6151377.620682,-3325060.983094,1786.245811,3173.210195,6612.365452
2030-11-14 08:08:17.099131,1187016.469741,6361884.298807,-2839110.148822,1694.777805,2664.175109,6863.773093
2030-11-14 08:09:29.008927,1305300.717075,6534690.003254,-2337702.799632,1593.371158,2139.441955,7074.953306
2030-11-14 08:10:40.732901,1415669.307141,6668949.750024,-1823924.007394,1482.684139,1602.327308,7244.684663
2030-11-14 08:11:52.253428,1517498.651940,6764074.941031,-1300973.682378,1363.453481,1056.287101,7372.037732
2030-11-14 08:13:03.519274,1610189.919512,6819743.654171,-772339.154126,1236.539893,505.091495,7456.383698
2030-11-14 08:14:14.381552,1693125.226552,6835996.874671,-242253.364238,1103.059954,-46.706343,7497.484218
2030-11-14 08:15:26.155921,1767245.190980,6812565.656487,296058.806002,961.263789,-605.983410,7495.268648
2030-11-14 08:16:37.708076,1830794.311904,6749340.423055,830969.966910,814.155263,-1160.469180,7449.063101
2030-11-14 08:17:49.470772,1883778.207440,6646292.429136,1362558.589329,661.752606,-1710.066055,7358.824639
2030-11-14 08:19:01.170205,1925646.712749,6504282.857961,1885651.891700,505.563752,-2249.244228,7225.290716
2030-11-14 08:20:12.863603,1956202.867759,6324087.486890,2397597.878919,346.438475,-2775.102282,7049.244560
2030-11-14 08:21:24.560301,1975275.134289,6106753.990443,2895453.345798,185.343882,-3284.458826,6831.783679
2030-11-14 08:22:36.275963,1982757.370490,5853516.074636,3376398.835216,23.242948,-3774.286269,6574.240667
2030-11-14 08:23:48.023992,1978605.322860,5565807.471885,3837691.330178,-138.892828,-4241.666524,6278.192946
2030-11-14 08:24:59.817732,1962837.873670,5245249.429341,4276694.002702,-300.094534,-4683.825134,5945.446000
2030-11-14 08:26:11.668181,1935537.909639,4893653.891825,4690876.725880,-459.396938,-5098.134839,5578.032033
2030-11-14 08:27:23.585227,1896852.864770,4513011.890863,5077839.547623,-615.847562,-5482.141502,5178.192962
2030-11-14 08:28:35.577142,1846995.047972,4105487.617846,5435325.048057,-768.511826,-5833.577781,4748.368936
2030-11-14 08:29:47.650732,1786241.428630,3673408.161820,5761234.418150,-916.479583,-6150.379529,4291.182202
2030-11-14 08:30:59.809817,1714934.616274,3219262.203681,6053636.339728,-1058.868217,-6430.694251,3809.430521
2030-11-14 08:32:12.055145,1633482.918166,2745689.959010,6310784.538276,-1194.829039,-6672.897294,3306.071583
