     主目标       次目标    联合包络球半径（km）             接近开始时刻(UTC)             接近结束时刻(UTC)    接近时长(s)             最短椭距时刻(UTC)    最短椭距(km)                 接近时刻(UTC)    相对距离(km)    径向距离(km)    横向距离(km)    法相距离(km)    接近夹角(deg)    相对速度(km/s)    接近期间最小相对速度(km/s)    碰撞概率(Chan)    碰撞概率(Alfano)    碰撞概率(Patera)    最大碰撞概率    碰撞概率(马氏距离)    冲淡概率阈值(km)
    Mother2    Debris342                   0.002    2030-11-14 15:57:05.722837    2030-11-14 16:12:23.317704     917.594867    2030-11-14 16:05:25.604078       13.760621    2030-11-14 16:05:25.604097       13.760621      -10.301092        8.905637       -1.982878         0.275741          0.049674                      0.038893       5.596932e-9         5.596937e-9         5.614703e-9     1.284162e-8           5.614703e-9             5.88834
    Mother2     Debris52                   0.002    2030-11-14 10:03:27.227864    2030-11-14 10:18:41.618181     914.390317    2030-11-14 10:11:15.987337       18.938305    2030-11-14 10:11:15.987337       18.938305        -7.38006       16.994641       -3.921263         0.369261           0.04984                      0.042451       5.401999e-9         5.402003e-9         5.456570e-9     1.242602e-8           5.456570e-9            4.421581
    Mother2     Debris17                   0.002    2030-11-14 11:41:52.174253    2030-11-14 11:59:17.863897    1045.689644    2030-11-14 11:50:34.423105        2.562068    2030-11-14 11:50:34.423105        2.562068       -2.022543       -0.894012         1.29393         0.391513          0.054192                       0.04852       8.394345e-9         8.394351e-9         8.395282e-9     7.255602e-7           8.395282e-9             0.55974
    Mother2    Debris282                   0.002    2030-11-14 09:48:26.101900    2030-11-14 09:52:18.102450      232.00055    2030-11-14 09:50:27.464664       28.772989    2030-11-14 09:50:27.464664       28.772989       21.119733        4.661423       18.976641          0.24747          0.057503                      0.051422      5.179568e-10        5.179573e-10        5.203624e-10     2.703933e-9          5.203624e-10            13.23783
    Mother2    Debris163                   0.002    2030-11-14 09:53:04.721095    2030-11-14 10:02:17.857022     553.135927    2030-11-14 09:58:11.778889       26.176818    2030-11-14 09:58:11.778916       26.176818      -19.992899      -15.211833       -7.355946         0.236915          0.061772                       0.05494       2.180473e-9         2.180475e-9         2.206746e-9     3.161520e-9           2.206746e-9           12.444714
    Mother2    Debris106                   0.002    2030-11-14 11:38:04.998473    2030-11-14 11:40:51.354494     166.356021    2030-11-14 11:39:27.596274       29.155591    2030-11-14 11:39:27.596274       29.155591        28.18657       -3.610316        6.521605          0.18435          0.059807                      0.058768      6.653698e-12        6.653705e-12        6.664448e-12     4.201253e-9          6.664448e-12            8.494741
    Mother2    Debris283                   0.002    2030-11-14 15:39:18.027365    2030-11-14 15:49:26.850357     608.822992    2030-11-14 15:44:43.167274       12.642523    2030-11-14 15:44:43.167303       12.642523       10.488122        7.054302        0.263621         0.367462          0.080833                       0.07223       6.161948e-9         6.161953e-9         6.167979e-9     1.164084e-8           6.167979e-9             7.07022
    Mother2    Debris123                   0.002    2030-11-14 17:45:50.567803    2030-11-14 17:57:13.204576     682.636774    2030-11-14 17:51:33.971956        9.307383    2030-11-14 17:51:33.971956        9.307383        4.302966        6.544611        5.027914          0.48082          0.079278                      0.074796       9.213261e-9         9.213269e-9         9.221509e-9     5.164518e-8           9.221509e-9            2.164679
    Mother2     Debris57                   0.002    2030-11-14 19:24:05.228538    2030-11-14 19:32:12.160279      486.93174    2030-11-14 19:28:14.618735       22.796354    2030-11-14 19:28:14.618735       22.796354        -3.68867       -21.63071        6.178986         0.613729           0.08222                      0.081241       3.421532e-9         3.421535e-9         3.436777e-9     5.948330e-9           3.436777e-9            7.634693
    Mother2    Debris101                   0.002    2030-11-14 08:29:33.315544    2030-11-14 08:35:58.302944       384.9874    2030-11-14 08:32:46.216624       25.077612    2030-11-14 08:32:46.216630       25.077612       -2.213265       21.272664      -13.094345         0.641189          0.085804                      0.085484       2.695975e-9         2.695977e-9         2.710112e-9     4.785992e-9           2.710112e-9            8.669473
    Mother2    Debris305                   0.002    2030-11-14 09:39:07.465354    2030-11-14 09:42:05.192747     177.727393    2030-11-14 09:40:36.016272       28.628351    2030-11-14 09:40:36.016272       28.628351       -5.212308      -27.737925        4.798114         0.771263          0.101922                      0.101417       3.007405e-9         3.007407e-9         3.019550e-9     3.640199e-9           3.019550e-9             9.98457
    Mother2    Debris150                   0.002    2030-11-14 11:49:27.535338    2030-11-14 11:57:32.761367     485.226029    2030-11-14 11:53:29.657538        4.023856    2030-11-14 11:53:29.657538        4.023856       -0.195913        3.601906        1.783063         0.889406          0.123769                      0.123492       6.081955e-9         6.081960e-9         6.082394e-9     2.052592e-7           6.082394e-9            1.259812
    Mother2    Debris174                   0.002    2030-11-14 14:50:00.000026    2030-11-14 14:52:04.715922     124.715896    2030-11-14 14:50:00.000026       24.135095    2030-11-14 14:50:00.000026       24.135095         9.23187      -16.122705        15.40564         0.865409           0.12798                      0.124667       2.367178e-9         2.367180e-9         2.367940e-9     4.367585e-9           2.367940e-9            9.870984
    Mother2    Debris174                   0.002    2030-11-14 14:49:58.713459    2030-11-14 14:50:00.000026       1.286567    2030-11-14 14:50:00.000026       24.135095    2030-11-14 14:50:00.000026       24.135095         9.23187      -16.122705        15.40564         0.865409           0.12798                       0.12798       2.367178e-9         2.367180e-9         2.367940e-9     4.367585e-9           2.367940e-9            9.870984
