Mother,Pulse,TimeSeconds,DeltaVx_mps,DeltaVy_mps,DeltaVz_mps
1,1,24000,3707.69062644028,11512.7196063682,5648.6850863626
1,2,26700,1562.35633640518,-1535.51922533861,13341.1239680253
1,3,47400,1538.376849852,-1703.85509081456,13506.6998730191
1,4,50100,-2306.09944308359,-12704.2034307272,5865.25858959248
1,5,68400,3145.58749550749,11264.0117856787,2757.45275589471
1,6,71100,1208.80328458998,-2085.1361147201,11801.4404498287
2,1,21900,-296.592179315086,-5757.50863810079,7769.45173220965
2,2,24600,-2558.58693367626,-6243.87647087005,-6847.34169948809
2,3,44100,-2380.35262768228,-9988.02909789574,706.007096965986
2,4,46800,-1336.05858888707,616.9478146102,-10214.8649496692
2,5,63900,3077.53082132064,5319.04270666802,12238.3410305172
2,6,66600,-413.624610634013,-8445.59429144183,11366.5993555397
3,1,22200,1686.11762006675,11599.7073282132,-8691.03427480184
3,2,24900,3849.56812688884,13020.8516930185,3726.48127027729
3,3,45900,3743.68091636518,11827.4653870408,5565.44537339857
3,4,48600,1876.05315019614,-464.224522653736,13689.720843514
3,5,69300,-205.430012886313,-958.328674073425,200.161476388342
3,6,72000,99.3903536276905,730.973588299301,-530.751411591805
