Mother,Pulse,TimeSeconds,DeltaVx_mps,DeltaVy_mps,DeltaVz_mps,UTC,Norm_mps
1,1,24000,3707.69062644028,11512.7196063682,5648.6850863626,2030-11-14 14:40:00,13349.0571098165
1,2,26700,1562.35633640518,-1535.51922533861,13341.1239680253,2030-11-14 15:25:00,13519.7768229919
1,3,47400,1538.376849852,-1703.85509081456,13506.6998730191,2030-11-14 21:10:00,13700.3892996684
1,4,50100,-2306.09944308359,-12704.2034307272,5865.25858959248,2030-11-14 21:55:00,14181.5421507493
1,5,68400,3145.58749550749,11264.0117856787,2757.45275589471,2030-11-15 03:00:00,12015.6659366343
1,6,71100,1208.80328458998,-2085.1361147201,11801.4404498287,2030-11-15 03:45:00,12045.0402526766
2,1,21900,-296.592179315086,-5757.50863810079,7769.45173220965,2030-11-14 14:05:00,9674.77404685875
2,2,24600,-2558.58693367626,-6243.87647087005,-6847.34169948809,2030-11-14 14:50:00,9613.45145253316
2,3,44100,-2380.35262768228,-9988.02909789574,706.007096965986,2030-11-14 20:15:00,10291.9993156574
2,4,46800,-1336.05858888707,616.9478146102,-10214.8649496692,2030-11-14 21:00:00,10320.3266953557
2,5,63900,3077.53082132064,5319.04270666802,12238.3410305172,2030-11-15 01:45:00,13694.5391470753
2,6,66600,-413.624610634013,-8445.59429144183,11366.5993555397,2030-11-15 02:30:00,14166.8178912384
3,1,22200,1686.11762006675,11599.7073282132,-8691.03427480184,2030-11-14 14:10:00,14592.1307386784
3,2,24900,3849.56812688884,13020.8516930185,3726.48127027729,2030-11-14 14:55:00,14080.0715989965
3,3,45900,3743.68091636518,11827.4653870408,5565.44537339857,2030-11-14 20:45:00,13596.994759486
3,4,48600,1876.05315019614,-464.224522653736,13689.720843514,2030-11-14 21:30:00,13825.4669578693
3,5,69300,-205.430012886313,-958.328674073425,200.161476388342,2030-11-15 03:15:00,1000.32992276337
3,6,72000,99.3903536276905,730.973588299301,-530.751411591805,2030-11-15 04:00:00,908.789244045112
