DebrisID,Name,StartUTC,StopUTC,OrbEpoch,StepSize,PositionX,PositionY,PositionZ,VelocityX,VelocityY,VelocityZ,GravityModel,MaxDegree,MaxOrder,UseDrag,UseFluxGeoFile,DragCoefficient
1,Debris1,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-1113924.525,634293.4334,-8840283.673,1753.318591,6029.055789,534.921035,7,20,20,1,0,2.2
2,Debris2,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-1654510.742,-2551988.329,-6763069.244,1342.097126,6593.96285,-2677.689633,7,20,20,1,0,2.2
3,Debris3,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-157293.1401,6791057.077,3320226.864,1575.046771,-4179.296546,6287.261607,7,20,20,1,0,2.2
4,Debris4,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,1724482.42,3541999.889,5842059.653,-920.84565,-6271.557571,4181.721564,7,20,20,1,0,2.2
5,Debris5,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,1686926.646,3809313.726,5711609.848,-711.101504,-6168.331322,4329.579936,7,20,20,1,0,2.2
6,Debris6,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-891176.747,-6097028.486,4536678.692,-1926.000159,-4460.448733,-5346.115785,7,20,20,1,0,2.2
7,Debris7,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-257219.5544,3436477.848,-6700848.831,1816.036807,6122.552075,3279.250234,7,20,20,1,0,2.2
8,Debris8,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,1875372.529,6868688.382,1059149.43,674.3308479999999,-1625.635327,7356.071199,7,20,20,1,0,2.2
9,Debris9,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-966495.7619,369088.6885,-7296800.942,1865.091449,7039.022496,193.739813,7,20,20,1,0,2.2
10,Debris10,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-556585.5323,1692716.8,-6839123.221,2072.837798,7033.328634,1728.460198,7,20,20,1,0,2.2
11,Debris11,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,1285046.55,6806995.551,-1409155.747,1355.759703,1239.934031,7293.540831,7,20,20,1,0,2.2
12,Debris12,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-1874334.844,-5862676.752,-3793839.186,-15.305604,4028.408934,-6177.954363,7,20,20,1,0,2.2
13,Debris13,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,1150323.577,523028.4595,6966809.528,-1747.713781,-7297.780065,861.649721,7,20,20,1,0,2.2
14,Debris14,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-1364689.334,-1233704.872,-7156862.381,1609.512027,6944.59185,-1409.842344,7,20,20,1,0,2.2
15,Debris15,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,696527.7230999999,-1312153.246,6950893.721,-1927.153882,-7191.765267,-1071.275134,7,20,20,1,0,2.2
16,Debris16,2030-11-14 08:00:00,2030-11-15 08:00:00,2030-11-14 08:00:00,60,-1089034.041,144270.4723,-7732400.178,1817.874879,6742.435587,150.408827,7,20,20,1,0,2.2
