DebrisID,Mother,TimeSeconds,UTC,Distance_m,RelativeSpeed_mps
66,1,0,2030-11-14 08:00:00,20230.277949043,38.4994521559165
73,3,1134,2030-11-14 08:18:54,29995.9132240023,91.7037746806085
101,2,1774,2030-11-14 08:29:34,29961.290076242,86.1568299467055
341,3,3268,2030-11-14 08:54:28,29989.2901024457,60.6957251257119
178,3,3413,2030-11-14 08:56:53,29985.1043029988,88.0982607522746
64,1,5411,2030-11-14 09:30:11,29886.8809062753,145.386022389737
221,1,5618,2030-11-14 09:33:38,29911.0325653984,112.952579075746
305,2,5950,2030-11-14 09:39:10,29999.9308102011,103.577777811894
282,2,6511,2030-11-14 09:48:31,29983.5353177828,51.6897459462074
163,2,6788,2030-11-14 09:53:08,29983.9394370986,54.9102641219588
52,2,7409,2030-11-14 10:03:29,29971.7869691417,42.5583546718878
228,1,8605,2030-11-14 10:23:25,28459.4243876772,149.964669315673
231,3,9749,2030-11-14 10:42:29,29983.1854418498,80.6465819893917
222,3,10419,2030-11-14 10:53:39,29922.585913713,117.22017087245
267,3,10598,2030-11-14 10:56:38,29946.615549424,120.658876124596
303,1,11020,2030-11-14 11:03:40,29993.8117875068,116.918153425272
272,1,11502,2030-11-14 11:11:42,29934.5363497987,119.919377673847
296,1,12568,2030-11-14 11:29:28,29997.6979991314,46.3741808698298
164,3,13010,2030-11-14 11:36:50,29978.6004854357,45.9705793646989
106,2,13089,2030-11-14 11:38:09,29996.2145910994,60.2029141138886
17,2,13316,2030-11-14 11:41:56,29984.5312207036,48.6824635208491
150,2,13769,2030-11-14 11:49:29,29945.3907871114,126.008890092036
220,3,15049,2030-11-14 12:10:49,29898.1834093396,147.345421515829
192,3,16609,2030-11-14 12:36:49,29990.2996798249,62.1223717541994
237,1,17174,2030-11-14 12:46:14,29980.9627987115,54.8521704524332
206,1,17447,2030-11-14 12:50:47,29998.9925566246,70.263168262202
316,1,22849,2030-11-14 14:20:49,27856.7718126015,149.998963577261
136,1,23838,2030-11-14 14:37:18,29979.1020955682,47.5972108068687
174,2,24600,2030-11-14 14:50:00,24651.0479537499,126.827812694032
161,3,25616,2030-11-14 15:06:56,29979.3105007893,114.631503085446
152,1,26700,2030-11-14 15:25:00,29709.6096236007,53.8119108618473
22,3,27007,2030-11-14 15:30:07,29969.7256244391,109.794799531348
209,3,27075,2030-11-14 15:31:15,29940.5282461989,91.1101229205354
283,2,27384,2030-11-14 15:36:24,29951.1821851404,89.4090727152066
342,2,28259,2030-11-14 15:50:59,29947.5643504574,48.9616787743579
301,2,29129,2030-11-14 16:05:29,29983.3631047845,148.78080664572
271,3,30135,2030-11-14 16:22:15,29988.3045135209,83.0183356665277
155,1,33057,2030-11-14 17:10:57,29974.6782311305,118.545488067881
68,3,33163,2030-11-14 17:12:43,29904.7745786124,102.638248967827
265,1,33638,2030-11-14 17:20:38,29977.1308922449,97.7741106052961
57,2,34928,2030-11-14 17:42:08,29987.3550999444,123.957396622458
276,2,35070,2030-11-14 17:44:30,29972.6795949567,38.2483907997874
345,3,35096,2030-11-14 17:44:56,29986.6341447948,40.9385232061727
123,2,35130,2030-11-14 17:45:30,29987.9462839684,108.663390765371
91,3,38419,2030-11-14 18:40:19,29971.1610414651,55.0226170353703
172,1,38882,2030-11-14 18:48:02,29986.8965324404,49.8619824967487
157,1,39630,2030-11-14 19:00:30,29993.6510218141,114.399262306547
287,3,42253,2030-11-14 19:44:13,29972.8477131832,54.5093522406579
133,3,44410,2030-11-14 20:20:10,29987.0819357656,60.9648764409855
314,3,45460,2030-11-14 20:37:40,29886.72369251,143.274812713764
83,1,45992,2030-11-14 20:46:32,29978.638553844,132.658246848396
