Mother,Pulse,TimeSeconds,DeltaVx_mps,DeltaVy_mps,DeltaVz_mps,UTC,Norm_mps
1,1,24000,3707.0806606858,11512.6621541427,5649.60253891175,2030-11-14 14:40:00,13349.2264100936
1,2,26700,1562.31925563934,-1535.80942527993,13341.272411613,2030-11-14 15:25:00,13519.951982466
1,3,47400,1538.28905806723,-1704.81526345655,13506.7645843994,2030-11-14 21:10:00,13700.5626835933
1,4,50100,-2305.76531024063,-12704.5394701371,5864.99613035715,2030-11-14 21:55:00,14181.6803102907
1,5,68400,3145.20454916303,11264.1862833841,2758.52965306028,2030-11-15 03:00:00,12015.9764534418
1,6,71100,1208.6312677376,-2085.51321499534,11801.7179381685,2030-11-15 03:45:00,12045.3601524969
2,1,21900,-296.595821472997,-5757.69577088497,7769.43736507406,2030-11-14 14:05:00,9674.8739858042
2,2,24600,-2558.24735056729,-6243.96565734424,-6847.49499992856,2030-11-14 14:50:00,9613.52819784836
2,3,44100,-2379.95005317878,-9988.235092863,705.794170887618,2030-11-14 20:15:00,10292.0915239607
2,4,46800,-1335.8462907839,616.955948699451,-10214.9665239945,2030-11-14 21:00:00,10320.4002365008
2,5,63900,3077.22479228764,5318.31594711237,12238.8792442672,2030-11-15 01:45:00,13694.6691121521
2,6,66600,-413.459075450011,-8445.97235022401,11366.5163329719,2030-11-15 02:30:00,14166.971832242
3,1,22200,1685.62021862096,11600.2733470614,-8690.53302082094,2030-11-14 14:10:00,14592.2246910451
3,2,24900,3849.23717163689,13020.9560958794,3726.702651784,2030-11-14 14:55:00,14080.1362603188
3,3,45900,3743.14695125939,11827.5043323991,5565.97473291959,2030-11-14 20:45:00,13597.098313947
3,4,48600,1876.05274261392,-464.356901783247,13689.7919338291,2030-11-14 21:30:00,13825.5417404468
3,5,69300,-204.838991817755,-958.718728739029,200.074143560193,2030-11-15 03:15:00,1000.56497856223
3,6,72000,100.293579232473,730.957842894734,-530.991059593248,2030-11-15 04:00:00,909.015772961363
