Mother,Window,EpochSeconds,a_m,e,i_rad,Omega_rad,omega_rad,M_rad,FullWindowScore
1,1,0,7144000,0.009,1.71199346328124,1.3233086388621,0.698131700797732,1.09568628491108,11
1,2,21600,7178000,0.021,1.71138259804304,1.32103971083451,0.698131700797732,0.720483453645139,10
1,3,43200,7225000,0.0215,1.71129533158044,1.32697383029129,1.0471975511966,5.78648533083188,13
1,4,57600,7242000,0.022,1.71120806511784,1.32959182416928,0.698131700797732,4.95434485753647,10
2,1,0,7144000,0.015,1.71408785838363,1.3229595730117,0.349065850398866,5.01692836159009,9
2,2,21600,7262000,0.028,1.71129533158044,1.3227850400865,0.698131700797732,5.5272473786332,11
2,3,43200,7243888.23910985,0.0269347168778095,1.7111162686687,1.32680498290839,0.731143828629637,5.61410957042888,9
2,4,57600,7267000,0.0315,1.71129533158044,1.32994089001968,1.0471975511966,3.23857138824466,11
3,1,0,7258000,0.03,1.71138259804304,1.31685092062972,0.872664625997165,2.33310766804891,9
3,2,21600,7203848.62297537,0.0249630465389117,1.71130755460324,1.32268156622619,0.613941009009616,1.1797369376185,10
3,3,43200,7136000,0.016,1.71129533158044,1.32714836321649,0.349065850398866,0.577393776918275,14
3,4,57600,7232000,0.02,1.71129533158044,1.32994089001968,1.0471975511966,2.20399692550344,9
